sitename,canopy_height,igbp_land_use,whc,koeppen_code,product,mat,p_over_pet,cti,aet,aet_corr,prec,prec_cond,pet,pet_over_prec,pet_over_prec_cond,aet_over_prec,aet_over_prec_cond,aet_corr_over_prec,aet_corr_over_prec_cond,cond_mean_ann
CA-TP3,13.3,ENF,197.84371948242188,Dfb,ameriflux,10.21744945903263,1.2862664354453637,6.6750030517578125,446.5461368866348,578.1219896943173,1123.543750447068,1460.9713093702082,1355.9614506186708,1.2068612816182027,0.9281232573986653,0.39744436895221047,0.30565017534747535,0.5145522721872445,0.39571070697037347,337.42755892314017
CA-TPD,25.7,DBF,214.2979278564453,Dfb,ameriflux,10.61332354349354,1.0673682411709595,6.388505935668945,363.4143640307353,596.2785468766657,881.6135021793798,1222.758932634985,1560.943571427625,1.7705531591439074,1.2765750711498536,0.4122150615120596,0.2972085129221631,0.6763491545928505,0.4876501254353668,341.1454304556052
CH-Aws,0.5750000029802322,GRA,218.63607788085935,ET,icos_warmwinter2020,7.084686845233244,1.7626956464397707,7.483077526092529,780.8669007142112,240.11817907662325,1364.2706014058513,1576.102205572677,103.75447786815413,0.07605124508381064,0.06582979041670392,0.5723695137237031,0.4954417917526377,0.1760048034672789,0.15234937063575538,211.8316041668256
CH-Cha,0.5,GRA,240.23568725585935,Cfb,icos_warmwinter2020,11.429130710360532,1.5255244133498271,5.828620910644531,729.6472926994429,917.4475697327796,1136.6858789137589,1492.5460494569527,831.8968342111882,0.7318616775693267,0.5573676165729461,0.6419075896295195,0.4888608247396571,0.8071249821538312,0.6146862738785067,355.8601705431938
CH-Dav,25,ENF,223.23182678222656,ET,icos_warmwinter2020,5.549135442340891,1.1102321499510523,2.306990146636963,578.5053764007167,652.5480774564363,838.1249612148081,1185.4891603403264,790.9187989505173,0.9436764629991827,0.6671666223615768,0.6902376175054021,0.48798875245273543,0.778580889072448,0.550446262426478,347.3641991255184
CH-Fru,0.5,GRA,213.80369567871097,Cfb,icos_warmwinter2020,8.865263835794986,2.329549425225928,3.620929002761841,663.729078039743,519.5439009694331,1449.1351306195704,1802.8161764796225,424.6828226799733,0.29305950404942727,0.23556634792863673,0.45801738155086263,0.3681623710165578,0.3585199820166562,0.2881846234506015,353.6810458600521
CH-Lae,14.420000076293944,MF,216.66603088378903,Cfb,icos_warmwinter2020,8.960637233517652,1.2319371871264582,2.618077516555786,744.578085761183,0,840.4892975556603,1187.4525720591157,0,0,0,0.8858864567658273,0.6270381683287265,0,0,346.96327450345547
CH-Oe1,0.5,GRA,222.75596618652344,Cfb,plumber,9.897549124146009,1.977275585592536,6.232672691345215,611.7481428393803,0,1222.343424475262,1571.4281943969054,808.1584436584665,0.66115498106058,0.5142827693559537,0.5004715782735091,0.3892943661190715,0,0,349.0847699216434
CH-Oe2,0.8930252772826303,CRO,222.75596618652344,Cfb,icos_warmwinter2020,10.722047100424849,1.585975930923393,7.736750602722168,650.7096976153609,0,1128.7063567616456,1481.5281750257373,0,0,0,0.5765092875726352,0.4392152026430795,0,0,352.8218182640917
CN-Cha,28,MF,247.1379547119141,Dwb,plumber,5.809592648754202,0.6914770974688168,3.635377883911133,441.09292372938006,0,466.1433346705735,779.2096513248582,1193.0533083160724,2.55941299505915,1.531106944437319,0.9462602828829533,0.5660773361564604,0,0,313.0663166542848
CN-Cng,0.75,GRA,154.80770874023438,Dwa,plumber,7.840229368052414,0.42682783393017193,6.659930229187012,416.9643097921808,635.1824973257399,332.8500008323317,641.5653262772685,1009.343973373522,3.0324289345036357,1.5732520634029852,1.2527093548130122,0.6499171521809757,1.9083145432999524,0.9900511628510763,308.71532544493675
CN-Dan,1,GRA,173.4037628173828,ET,plumber,4.322795846714192,0.5214553665252077,7.910079956054688,586.3249113322673,0,520.1500016049978,918.1257533030149,1035.4628052774574,1.990700378895295,1.1278006324866883,1.127222742522498,0.6386106796622649,0,0,397.9757516980171
CN-Din,30,EBF,242.55422973632812,Cfa,plumber,20.856340458880176,1.519034714960078,2.5577943325042725,628.9507218858797,0,1373.545004155892,1764.7506515251177,1399.4895117549336,1.0188887204427537,0.7930239382801637,0.4579032503360889,0.356396367578804,0,0,391.2056473692258
CN-Du2,0.5,GRA,166.8404083251953,Dwb,plumber,4.36991417652367,0.3736896022996101,7.155744552612305,344.15843851895954,405.07466136237554,284.8985012498815,599.7493720677812,1107.0821469148875,3.885882663678449,1.8459079716881632,1.2080036820450022,0.5738370968732989,1.4218209628526222,0.6754065618539666,314.8508708178997
CN-HaM,0.30000001192092896,GRA,189.57565307617188,ET,plumber,2.549003748143295,0.7302452592779268,2.527667284011841,335.8278373818236,550.9716982124484,583.3360015898393,950.4163816719697,1346.2026979499733,2.3077654975537203,1.4164346531798384,0.5757022307324587,0.3533481154765412,0.9445185908478401,0.5797161210996601,367.0803800821304
CN-Qia,13,ENF,228.145263671875,Cfa,plumber,18.99983491006852,1.363573333581132,3.8304238319396977,630.0339051812056,0,1169.9080042682908,1546.8460351271253,1430.9674138461678,1.2231452461436525,0.925087165335473,0.5385328614579871,0.4073022724135742,0,0,376.93803085883457
CZ-BK1,12.444598754835717,ENF,259.2153015136719,Dfb,icos_warmwinter2020,8.072089444139118,1.777240596188475,2.337387800216675,358.1380941964645,228.64439048717145,1250.3360627962793,1596.292844015313,996.8546482541248,0.7972693725435199,0.6244810605970255,0.28643346765150207,0.2243561358676547,0.18286634872853788,0.14323461471645743,345.95678121903364
CZ-KrP,0.8930252772826303,CRO,215.42469787597656,Cfb,icos_warmwinter2020,10.294486790479494,0.9599738650981486,3.5680816173553467,397.5644219913334,583.1486369979103,633.2007164294737,836.9532963356307,1023.52741541944,1.6164343925429547,1.2229205857730325,0.6278647696944203,0.47501386723961736,0.9209538490199447,0.6967517059208272,203.75257990615708
CZ-Lnz,29,MF,218.02980041503903,Dfb,icos_warmwinter2020,12.39546711621415,0.6825417299077091,5.522093772888184,543.1390037992413,0,497.03916904367134,852.778655529391,1191.4752076577813,2.39714550052512,1.3971681865303407,1.0927488971226722,0.6369050166506214,0,0,355.7394864857197
CZ-RAJ,12.444598754835717,ENF,240.9299774169922,Dfb,icos_warmwinter2020,8.936512581690643,1.029933394273228,3.118736982345581,351.65368072043105,388.1092827824279,664.8645558454973,868.5458219662357,1284.3827267768208,1.9317960560305287,1.4787737092203186,0.5289102534173127,0.40487637131723075,0.583741875499553,0.44684951900846914,203.68126612073848
CZ-Stn,23.183333333333337,DBF,234.6613311767578,Dfb,icos_warmwinter2020,9.746286804821548,0.9422225102997314,5.573789119720459,389.67731576421266,0,665.2899119542916,875.8026425703517,1093.6021332089329,1.643797859487261,1.2486855828607364,0.5857255743132105,0.4449373601118251,0,0,210.51273061606017
CZ-wet,1,WET,188.04153442382812,Cfb,icos_warmwinter2020,10.64272239702385,0.7763128227711371,14.612222671508787,480.76108303276993,472.9536624254488,577.4772012966538,929.2325300194486,1085.2617100288985,1.8793152484497695,1.1679118788557523,0.832519590302925,0.5173743573341193,0.8189997135185418,0.5089723477669792,351.75532872279484
DE-Akm,2.596904761904762,WET,900.4317626953125,Cfb,icos_warmwinter2020,10.614350499231684,1.097103408651574,6.907629489898682,469.3880968887019,0,639.4923337823343,990.4581730044079,827.5003048804651,1.2939956605674081,0.8354722364200052,0.7340011319799008,0.4739100647379008,0,0,350.96583922207355
