sitename,pet_p,aet_p,aet_corr_p_cond,aet_corr_p,aet_p_cond,pet_p_cond,res,res_corr,res_cond,res_corr_cond
IT-Ren,0.8513547434967667,0.5957046046339795,0.33437289010992055,0.4557884320772473,0.43701738851830463,0.6245659741613581,-0.015846182425592548,-0.26138939615462153,0.06614965524376726,-0.13780943811735824
IT-Ro2,1.7245147652277084,0.5442898165271446,0.5324748363686481,0.7686869621718467,0.3770333637161663,1.1945834424399362,-0.2765040245569188,-0.16472111981458448,-0.14902603492997096,-0.14475620550815183
IT-SR2,1.1153624674200635,0.6931734423248066,0.6037293506022252,0.8115333116919059,0.5156771091959088,0.8297589864028336,-0.009020457067828946,-0.013534130353271001,0.07743498162726248,0.03966205454376337
IT-SRo,1.0577562497769586,0.67587324768577,0.47018992366482887,0.6817140239954745,0.4661614394756558,0.7295527344790628,-0.009308006819173209,-0.1243561141400441,0.0587833156373897,-0.05212207528833329
IT-Tor,0.7897731247633533,0.5659556927483895,0.5092331758828578,0.7034640183539473,0.40969176433731386,0.5717117948565992,-0.019135762399536516,0.02004161977119523,0.059069180518308284,0.06503656099843147
NL-Ca1,1.3427195554327265,0.7522872610483529,0.7223455014385592,1.0954957607684157,0.4960414620195762,0.8853593644945629,-0.005345423829524298,0.21404696403601142,0.04212987205905161,0.13739266917147053
NL-Hor,0.8184402949988275,0.33877559454247974,0.31226617822981073,0.42247628784741453,0.25040023127527455,0.6049362541285801,-0.25891855200953406,-0.2771036464715485,-0.11310480061513684,-0.1497477289219361
NL-Loo,1.5337058451674108,0.6841057342237907,0.537281855905515,0.7736258778354945,0.4751102684772413,1.06515610001338,-0.10883699860168006,-0.13861354241147117,-0.023493340193588563,-0.10569608308183942
PL-wet,1.732427904397169,0.8697726582621625,0.6908844114176284,1.141120502124106,0.526598523076265,1.0488878526193897,0.047954160738065355,0.20698777908037957,0.031702810767987644,0.052620484181705174
PT-Mi2,1.9940511224761417,0.6012301955602178,0.6331871719737867,1.0059578420291038,0.3784365818592695,1.2551297263760424,-0.24981287566184218,0.05280137081690883,-0.15933602532024443,-0.058280461535557215
RU-Fy2,1.7212601364538895,0.62421422168826,0.7763248349046458,1.0105958583594463,0.4795121596717562,1.3222466530089787,-0.19615545133406997,0.07748888520951791,-0.07049793586222597,0.07024306814557468
RU-Fyo,1.6512206106574148,0.7022141497773189,0.5006196476120397,0.7865893348751336,0.446919611827072,1.0509085790850128,-0.10862520273708198,-0.13957751975378496,-0.04844001039119855,-0.13823515182802915
RU-Zot,3.28752049035232,0.8582605882944943,0.511621787050897,1.0057801325810825,0.4365813180379005,1.6723009868211935,-0.06545538524759364,0.019169804408014857,-0.16687128734817708,-0.25487136405638555
